央视频道,#genre#
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8#http://112.99.193.34:9901/tsfile/live/1017_1.m3u8#http://116.9.204.242:9901/tsfile/live/0001_1.m3u8#http://tvbox6.icu/tv/migu.php
CCTV2,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8#http://116.9.204.242:9901/tsfile/live/0002_1.m3u8#http://tvbox6.icu/tv/migu.php
CCTV5,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8#http://42.225.117.174:11199/tsfile/live/0005_1.m3u8#http://120.198.101.106:9901/tsfile/live/1030_1.m3u8#http://58.17.48.228:808/hls/5/index.m3u8#http://ak6668768.zicp.io:8804/live1005.m3u8
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8#http://183.215.134.239:19901/tsfile/live/0005_1.m3u8#http://116.128.242.83:9901/tsfile/live/0005_1.m3u8#http://tvbox6.icu/tv/migu.php#http://cntv.dfkj.live/bestv.php
CCTV10,http://42.225.117.174:11199/tsfile/live/0010_1.m3u8#http://58.17.48.228:808/hls/10/index.m3u8#http://tvbox6.icu/tv/migu.php
CCTV11,http://183.237.95.108:9901/tsfile/live/1023_1.m3u8#http://116.9.204.242:9901/tsfile/live/0011_1.m3u8#http://ak6668768.zicp.io:8810/live1011.m3u8#http://tvbox6.icu/tv/migu.php
CCTV12,http://116.9.204.242:9901/tsfile/live/0012_1.m3u8#http://42.225.117.174:11199/tsfile/live/0012_1.m3u8#http://tvbox6.icu/tv/migu.php
CCTV13,https://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8#http://183.215.134.239:19901/tsfile/live/0013_1.m3u8#http://116.9.204.242:9901/tsfile/live/0013_1.m3u8#http://ak6668768.zicp.io:8812/live1013.m3u8#http://tvbox6.icu/tv/migu.php
CCTV14,http://116.9.204.242:9901/tsfile/live/0014_1.m3u8#http://42.225.117.174:11199/tsfile/live/0014_1.m3u8#http://183.237.95.108:9901/tsfile/live/1096_1.m3u8#http://58.17.48.228:808/hls/14/index.m3u8#http://tvbox6.icu/tv/migu.php
CCTV15,http://112.99.193.34:9901/tsfile/live/1020_1.m3u8#http://116.9.204.242:9901/tsfile/live/0015_1.m3u8#http://tvbox6.icu/tv/migu.php
CCTV16,http://42.225.117.174:11199/tsfile/live/0015_2.m3u8#http://58.221.214.82:9901/tsfile/live/0002_2.m3u8#https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8#http://58.17.48.228:808/hls/25/index.m3u8#http://cntv.dfkj.live/bestv.php
CCTV17,http://player.cntv.cn/standard/live_HLSDRM20180524.swf#http://58.221.214.82:9901/tsfile/live/0003_2.m3u8#http://cntv.dfkj.live/bestv.php#http://tvbox6.icu/tv/migu.php
卫视频道,#genre#
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8#http://183.215.134.239:19901/tsfile/live/0128_1.m3u8#http://58.17.48.228:808/hls/31/index.m3u8#http://ak6668768.zicp.io:8827/live1028.m3u8#http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8#http://tvbox6.icu/tv/migu.php
浙江卫视,http://183.215.134.239:19901/tsfile/live/0124_1.m3u8#http://116.9.204.242:9901/tsfile/live/0122_2.m3u8#http://58.17.48.228:808/hls/32/index.m3u8#http://ak6668768.zicp.io:8828/live1031.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8#http://113.15.109.216:59901/tsfile/live/1009_1.m3u8#http://183.215.134.239:19901/tsfile/live/0107_1.m3u8#http://ak6668768.zicp.io:8831/live1033.m3u8#http://tvbox6.icu/tv/migu.php
北京卫视,http://116.9.204.242:9901/tsfile/live/0122_1.m3u8#http://42.225.117.174:11199/tsfile/live/0122_1.m3u8#http://1.180.2.93:9901/tsfile/live/0122_1.m3u8#http://183.215.134.239:19901/tsfile/live/0122_1.m3u8#http://ak6668768.zicp.io:8830/live1032.m3u8
江苏卫视,http://42.225.117.174:11199/tsfile/live/0127_1.m3u8#http://36.136.38.87:9901/tsfile/live/0127_1.m3u8#http://ak6668768.zicp.io:8829/live1030.m3u8#http://tvbox6.icu/tv/migu.php
安徽卫视,https://www.yangshipin.cn/tv/home#http://47.94.35.70:31420/tsfile/live/1018_1.m3u8
重庆卫视,http://ak6668768.zicp.io:8845/live1071.m3u8#http://tvbox6.icu/tv/migu.php#http://zzssw01.55555.io:9901/tsfile/live/0142_1.m3u8
四川卫视,http://ak6668768.zicp.io:8839/live1041.m3u8
东南卫视,http://player.cntv.cn/standard/live_HLSDRM20180606.swf#http://47.94.35.70:31420/tsfile/live/0137_1.m3u8#http://58.221.214.82:9901/tsfile/live/0137_1.m3u8#http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
深圳卫视,http://yncbn.ks-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8#http://120.198.95.220:9901/tsfile/live/1048_1.m3u8#http://120.198.101.106:9901/tsfile/live/1065_1.m3u8#http://183.215.134.239:19901/tsfile/live/0126_1.m3u8#http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8#http://ak6668768.zicp.io:8855/live1080.m3u8
广东卫视,http://z.b.bkpcp.top/m.php#http://120.198.95.220:9901/tsfile/live/1006_1.m3u8#http://183.237.95.108:9901/tsfile/live/1029_1.m3u8#http://120.198.101.106:9901/tsfile/live/1009_1.m3u8#http://183.215.134.239:19901/tsfile/live/0125_1.m3u8#http://tvbox6.icu/tv/migu.php
广西卫视,https://www.yangshipin.cn/tv/home#http://113.15.109.216:59901/tsfile/live/0113_1.m3u8#http://42.225.117.174:11199/tsfile/live/0113_1.m3u8#http://116.9.204.242:9901/tsfile/live/0113_1.m3u8#http://58.221.214.82:9901/tsfile/live/0113_1.m3u8#http://1.180.2.93:9901/tsfile/live/0113_1.m3u8#http://tvbox6.icu/tv/migu.php
